STATE/UT,Year,Total
A & N ISLANDS,2001,333
A & N ISLANDS,2002,372
A & N ISLANDS,2003,287
A & N ISLANDS,2004,311
A & N ISLANDS,2005,361
A & N ISLANDS,2006,350
A & N ISLANDS,2007,385
A & N ISLANDS,2008,365
A & N ISLANDS,2009,350
A & N ISLANDS,2010,397
A & N ISLANDS,2011,350
A & N ISLANDS,2012,320
ANDHRA PRADESH,2001,26175
ANDHRA PRADESH,2002,28999
ANDHRA PRADESH,2003,28185
ANDHRA PRADESH,2004,34040
ANDHRA PRADESH,2005,33555
ANDHRA PRADESH,2006,34210
ANDHRA PRADESH,2007,38037
ANDHRA PRADESH,2008,36909
ANDHRA PRADESH,2009,37976
ANDHRA PRADESH,2010,41604
ANDHRA PRADESH,2011,39248
ANDHRA PRADESH,2012,37419
ARUNACHAL PRADESH,2001,306
ARUNACHAL PRADESH,2002,299
ARUNACHAL PRADESH,2003,217
ARUNACHAL PRADESH,2004,205
ARUNACHAL PRADESH,2005,194
ARUNACHAL PRADESH,2006,340
ARUNACHAL PRADESH,2007,327
ARUNACHAL PRADESH,2008,297
ARUNACHAL PRADESH,2009,297
ARUNACHAL PRADESH,2010,317
ARUNACHAL PRADESH,2011,348
ARUNACHAL PRADESH,2012,333
ASSAM,2001,6611
ASSAM,2002,6333
ASSAM,2003,6604
ASSAM,2004,7295
ASSAM,2005,7393
ASSAM,2006,7948
ASSAM,2007,8101
ASSAM,2008,7752
ASSAM,2009,7790
ASSAM,2010,7955
ASSAM,2011,7050
ASSAM,2012,8802
BIHAR,2001,1358
BIHAR,2002,1649
BIHAR,2003,1395
BIHAR,2004,789
BIHAR,2005,1244
BIHAR,2006,1418
BIHAR,2007,2281
BIHAR,2008,2294
BIHAR,2009,2419
BIHAR,2010,2955
BIHAR,2011,1812
BIHAR,2012,1684
CHANDIGARH,2001,158
CHANDIGARH,2002,191
CHANDIGARH,2003,244
CHANDIGARH,2004,182
CHANDIGARH,2005,228
CHANDIGARH,2006,184
CHANDIGARH,2007,194
CHANDIGARH,2008,196
CHANDIGARH,2009,180
CHANDIGARH,2010,170
CHANDIGARH,2011,257
CHANDIGARH,2012,291
CHHATTISGARH,2001,10574
CHHATTISGARH,2002,10127
CHHATTISGARH,2003,9917
CHHATTISGARH,2004,11491
CHHATTISGARH,2005,12322
CHHATTISGARH,2006,11804
CHHATTISGARH,2007,12474
CHHATTISGARH,2008,12995
CHHATTISGARH,2009,15033
CHHATTISGARH,2010,16511
CHHATTISGARH,2011,17098
CHHATTISGARH,2012,13959
D & N HAVELI,2001,127
D & N HAVELI,2002,131
D & N HAVELI,2003,132
D & N HAVELI,2004,96
D & N HAVELI,2005,158
D & N HAVELI,2006,100
D & N HAVELI,2007,179
D & N HAVELI,2008,151
D & N HAVELI,2009,143
D & N HAVELI,2010,150
D & N HAVELI,2011,171
D & N HAVELI,2012,169
DAMAN & DIU,2001,38
DAMAN & DIU,2002,45
DAMAN & DIU,2003,57
DAMAN & DIU,2004,31
DAMAN & DIU,2005,82
DAMAN & DIU,2006,55
DAMAN & DIU,2007,37
DAMAN & DIU,2008,49
DAMAN & DIU,2009,54
DAMAN & DIU,2010,74
DAMAN & DIU,2011,83
DAMAN & DIU,2012,81
DELHI (UT),2001,3012
DELHI (UT),2002,2503
DELHI (UT),2003,2673
DELHI (UT),2004,2986
DELHI (UT),2005,2893
DELHI (UT),2006,3600
DELHI (UT),2007,3478
DELHI (UT),2008,3087
DELHI (UT),2009,3412
DELHI (UT),2010,3629
DELHI (UT),2011,3975
DELHI (UT),2012,4411
GOA,2001,615
GOA,2002,733
GOA,2003,738
GOA,2004,731
GOA,2005,664
GOA,2006,634
GOA,2007,631
GOA,2008,669
GOA,2009,657
GOA,2010,770
GOA,2011,666
GOA,2012,689
GUJARAT,2001,11793
GUJARAT,2002,11380
GUJARAT,2003,11282
GUJARAT,2004,11826
GUJARAT,2005,11838
GUJARAT,2006,12423
GUJARAT,2007,13721
GUJARAT,2008,15108
GUJARAT,2009,15314
GUJARAT,2010,15271
GUJARAT,2011,15929
GUJARAT,2012,17590
HARYANA,2001,4745
HARYANA,2002,5311
HARYANA,2003,5465
HARYANA,2004,5014
HARYANA,2005,4761
HARYANA,2006,5715
HARYANA,2007,5765
HARYANA,2008,6136
HARYANA,2009,5923
HARYANA,2010,7103
HARYANA,2011,7537
HARYANA,2012,7134
HIMACHAL PRADESH,2001,709
HIMACHAL PRADESH,2002,785
HIMACHAL PRADESH,2003,919
HIMACHAL PRADESH,2004,913
HIMACHAL PRADESH,2005,881
HIMACHAL PRADESH,2006,1079
HIMACHAL PRADESH,2007,1022
HIMACHAL PRADESH,2008,1671
HIMACHAL PRADESH,2009,1305
HIMACHAL PRADESH,2010,1336
HIMACHAL PRADESH,2011,1106
HIMACHAL PRADESH,2012,1255
JAMMU & KASHMIR,2001,349
JAMMU & KASHMIR,2002,446
JAMMU & KASHMIR,2003,296
JAMMU & KASHMIR,2004,245
JAMMU & KASHMIR,2005,703
JAMMU & KASHMIR,2006,643
JAMMU & KASHMIR,2007,556
JAMMU & KASHMIR,2008,747
JAMMU & KASHMIR,2009,783
JAMMU & KASHMIR,2010,590
JAMMU & KASHMIR,2011,673
JAMMU & KASHMIR,2012,932
JHARKHAND,2001,596
JHARKHAND,2002,638
JHARKHAND,2003,638
JHARKHAND,2004,928
JHARKHAND,2005,1932
JHARKHAND,2006,2001
JHARKHAND,2007,3011
JHARKHAND,2008,2159
JHARKHAND,2009,2711
JHARKHAND,2010,2996
JHARKHAND,2011,2847
JHARKHAND,2012,3100
KARNATAKA,2001,31137
KARNATAKA,2002,32296
KARNATAKA,2003,32170
KARNATAKA,2004,30630
KARNATAKA,2005,29387
KARNATAKA,2006,30457
KARNATAKA,2007,31581
KARNATAKA,2008,31098
KARNATAKA,2009,31470
KARNATAKA,2010,33195
KARNATAKA,2011,32336
KARNATAKA,2012,33371
KERALA,2001,23709
KERALA,2002,24277
KERALA,2003,24279
KERALA,2004,22687
KERALA,2005,23380
KERALA,2006,23052
KERALA,2007,22939
KERALA,2008,21292
KERALA,2009,21524
KERALA,2010,21392
KERALA,2011,21281
KERALA,2012,21482
LAKSHADWEEP,2001,0
LAKSHADWEEP,2002,0
LAKSHADWEEP,2003,4
LAKSHADWEEP,2004,0
LAKSHADWEEP,2005,0
LAKSHADWEEP,2006,5
LAKSHADWEEP,2007,7
LAKSHADWEEP,2008,0
LAKSHADWEEP,2009,2
LAKSHADWEEP,2010,2
LAKSHADWEEP,2011,0
LAKSHADWEEP,2012,2
MADHYA PRADESH,2001,17121
MADHYA PRADESH,2002,17483
MADHYA PRADESH,2003,17282
MADHYA PRADESH,2004,17444
MADHYA PRADESH,2005,13687
MADHYA PRADESH,2006,15992
MADHYA PRADESH,2007,15922
MADHYA PRADESH,2008,19363
MADHYA PRADESH,2009,22364
MADHYA PRADESH,2010,22550
MADHYA PRADESH,2011,23214
MADHYA PRADESH,2012,24458
MAHARASHTRA,2001,38274
MAHARASHTRA,2002,37930
MAHARASHTRA,2003,38646
MAHARASHTRA,2004,38437
MAHARASHTRA,2005,37619
MAHARASHTRA,2006,40611
MAHARASHTRA,2007,39958
MAHARASHTRA,2008,37784
MAHARASHTRA,2009,37331
MAHARASHTRA,2010,41679
MAHARASHTRA,2011,41818
MAHARASHTRA,2012,42053
MANIPUR,2001,96
MANIPUR,2002,89
MANIPUR,2003,64
MANIPUR,2004,101
MANIPUR,2005,74
MANIPUR,2006,86
MANIPUR,2007,90
MANIPUR,2008,82
MANIPUR,2009,66
MANIPUR,2010,84
MANIPUR,2011,74
MANIPUR,2012,87
MEGHALAYA,2001,229
MEGHALAYA,2002,165
MEGHALAYA,2003,113
MEGHALAYA,2004,140
MEGHALAYA,2005,164
MEGHALAYA,2006,236
MEGHALAYA,2007,216
MEGHALAYA,2008,210
MEGHALAYA,2009,261
MEGHALAYA,2010,260
MEGHALAYA,2011,374
MEGHALAYA,2012,313
MIZORAM,2001,125
MIZORAM,2002,169
MIZORAM,2003,141
MIZORAM,2004,149
MIZORAM,2005,119
MIZORAM,2006,157
MIZORAM,2007,56
MIZORAM,2008,87
MIZORAM,2009,192
MIZORAM,2010,187
MIZORAM,2011,215
MIZORAM,2012,427
NAGALAND,2001,93
NAGALAND,2002,70
NAGALAND,2003,53
NAGALAND,2004,87
NAGALAND,2005,74
NAGALAND,2006,69
NAGALAND,2007,58
NAGALAND,2008,101
NAGALAND,2009,83
NAGALAND,2010,29
NAGALAND,2011,92
NAGALAND,2012,82
ODISHA,2001,10138
ODISHA,2002,11111
ODISHA,2003,11303
ODISHA,2004,10846
ODISHA,2005,10761
ODISHA,2006,10289
ODISHA,2007,10862
ODISHA,2008,12363
ODISHA,2009,11102
ODISHA,2010,10774
ODISHA,2011,13314
ODISHA,2012,12329
PUDUCHERRY,2001,1339
PUDUCHERRY,2002,1503
PUDUCHERRY,2003,1517
PUDUCHERRY,2004,1336
PUDUCHERRY,2005,1342
PUDUCHERRY,2006,1344
PUDUCHERRY,2007,1298
PUDUCHERRY,2008,1294
PUDUCHERRY,2009,1303
PUDUCHERRY,2010,1308
PUDUCHERRY,2011,1434
PUDUCHERRY,2012,1383
PUNJAB,2001,1459
PUNJAB,2002,1284
PUNJAB,2003,1513
PUNJAB,2004,1652
PUNJAB,2005,1504
PUNJAB,2006,1911
PUNJAB,2007,2128
PUNJAB,2008,2196
PUNJAB,2009,2145
PUNJAB,2010,2341
PUNJAB,2011,2447
PUNJAB,2012,2667
RAJASTHAN,2001,7991
RAJASTHAN,2002,8150
RAJASTHAN,2003,9237
RAJASTHAN,2004,9268
RAJASTHAN,2005,9909
RAJASTHAN,2006,10298
RAJASTHAN,2007,11056
RAJASTHAN,2008,13135
RAJASTHAN,2009,12970
RAJASTHAN,2010,12000
RAJASTHAN,2011,10624
RAJASTHAN,2012,11458
SIKKIM,2001,253
SIKKIM,2002,191
SIKKIM,2003,271
SIKKIM,2004,272
SIKKIM,2005,284
SIKKIM,2006,363
SIKKIM,2007,315
SIKKIM,2008,728
SIKKIM,2009,646
SIKKIM,2010,754
SIKKIM,2011,479
SIKKIM,2012,482
TAMIL NADU,2001,28297
TAMIL NADU,2002,28362
TAMIL NADU,2003,29763
TAMIL NADU,2004,32057
TAMIL NADU,2005,30189
TAMIL NADU,2006,31770
TAMIL NADU,2007,35571
TAMIL NADU,2008,37482
TAMIL NADU,2009,35833
TAMIL NADU,2010,39979
TAMIL NADU,2011,37825
TAMIL NADU,2012,39995
TRIPURA,2001,1900
TRIPURA,2002,1922
TRIPURA,2003,1845
TRIPURA,2004,1707
TRIPURA,2005,1774
TRIPURA,2006,1638
TRIPURA,2007,1782
TRIPURA,2008,1740
TRIPURA,2009,1859
TRIPURA,2010,1823
TRIPURA,2011,1584
TRIPURA,2012,1933
UTTAR PRADESH,2001,8755
UTTAR PRADESH,2002,10503
UTTAR PRADESH,2003,8847
UTTAR PRADESH,2004,8902
UTTAR PRADESH,2005,8615
UTTAR PRADESH,2006,7816
UTTAR PRADESH,2007,9779
UTTAR PRADESH,2008,10170
UTTAR PRADESH,2009,10390
UTTAR PRADESH,2010,8990
UTTAR PRADESH,2011,11846
UTTAR PRADESH,2012,11008
UTTARAKHAND,2001,804
UTTARAKHAND,2002,898
UTTARAKHAND,2003,997
UTTARAKHAND,2004,557
UTTARAKHAND,2005,662
UTTARAKHAND,2006,805
UTTARAKHAND,2007,611
UTTARAKHAND,2008,480
UTTARAKHAND,2009,813
UTTARAKHAND,2010,690
UTTARAKHAND,2011,786
UTTARAKHAND,2012,993
WEST BENGAL,2001,34046
WEST BENGAL,2002,32325
WEST BENGAL,2003,32375
WEST BENGAL,2004,31913
WEST BENGAL,2005,36582
WEST BENGAL,2006,38849
WEST BENGAL,2007,36809
WEST BENGAL,2008,35220
WEST BENGAL,2009,35568
WEST BENGAL,2010,39906
WEST BENGAL,2011,39660
WEST BENGAL,2012,0
