STATE/UT,Year,Total Male,Total Female,Total
A & N ISLANDS,2001,232,101,333
A & N ISLANDS,2002,265,107,372
A & N ISLANDS,2003,200,87,287
A & N ISLANDS,2004,225,86,311
A & N ISLANDS,2005,250,111,361
A & N ISLANDS,2006,275,75,350
A & N ISLANDS,2007,271,114,385
A & N ISLANDS,2008,274,91,365
A & N ISLANDS,2009,254,96,350
A & N ISLANDS,2010,306,91,397
A & N ISLANDS,2011,249,101,350
A & N ISLANDS,2012,231,89,320
ANDHRA PRADESH,2001,16913,9262,26175
ANDHRA PRADESH,2002,19851,9148,28999
ANDHRA PRADESH,2003,19391,8794,28185
ANDHRA PRADESH,2004,24072,9968,34040
ANDHRA PRADESH,2005,23102,10453,33555
ANDHRA PRADESH,2006,23892,10318,34210
ANDHRA PRADESH,2007,26747,11290,38037
ANDHRA PRADESH,2008,26284,10625,36909
ANDHRA PRADESH,2009,27374,10602,37976
ANDHRA PRADESH,2010,30253,11351,41604
ANDHRA PRADESH,2011,27610,11638,39248
ANDHRA PRADESH,2012,26386,11033,37419
ARUNACHAL PRADESH,2001,222,84,306
ARUNACHAL PRADESH,2002,206,93,299
ARUNACHAL PRADESH,2003,158,59,217
ARUNACHAL PRADESH,2004,140,65,205
ARUNACHAL PRADESH,2005,142,52,194
ARUNACHAL PRADESH,2006,270,70,340
ARUNACHAL PRADESH,2007,258,69,327
ARUNACHAL PRADESH,2008,216,81,297
ARUNACHAL PRADESH,2009,216,81,297
ARUNACHAL PRADESH,2010,236,81,317
ARUNACHAL PRADESH,2011,272,76,348
ARUNACHAL PRADESH,2012,265,68,333
ASSAM,2001,4779,1832,6611
ASSAM,2002,4527,1806,6333
ASSAM,2003,4494,2110,6604
ASSAM,2004,5278,2017,7295
ASSAM,2005,5390,2003,7393
ASSAM,2006,5934,2014,7948
ASSAM,2007,5991,2110,8101
ASSAM,2008,5498,2254,7752
ASSAM,2009,5268,2522,7790
ASSAM,2010,5649,2306,7955
ASSAM,2011,5053,1997,7050
ASSAM,2012,6781,2021,8802
BIHAR,2001,741,617,1358
BIHAR,2002,1023,626,1649
BIHAR,2003,860,535,1395
BIHAR,2004,502,287,789
BIHAR,2005,793,451,1244
BIHAR,2006,720,698,1418
BIHAR,2007,1341,940,2281
BIHAR,2008,1408,886,2294
BIHAR,2009,1288,1131,2419
BIHAR,2010,1852,1103,2955
BIHAR,2011,1046,766,1812
BIHAR,2012,1055,629,1684
CHANDIGARH,2001,96,62,158
CHANDIGARH,2002,122,69,191
CHANDIGARH,2003,173,71,244
CHANDIGARH,2004,135,47,182
CHANDIGARH,2005,170,58,228
CHANDIGARH,2006,134,50,184
CHANDIGARH,2007,149,45,194
CHANDIGARH,2008,143,53,196
CHANDIGARH,2009,117,63,180
CHANDIGARH,2010,83,87,170
CHANDIGARH,2011,157,100,257
CHANDIGARH,2012,208,83,291
CHHATTISGARH,2001,7309,3265,10574
CHHATTISGARH,2002,7069,3058,10127
CHHATTISGARH,2003,6863,3054,9917
CHHATTISGARH,2004,8090,3401,11491
CHHATTISGARH,2005,8767,3555,12322
CHHATTISGARH,2006,8209,3595,11804
CHHATTISGARH,2007,8790,3684,12474
CHHATTISGARH,2008,9114,3881,12995
CHHATTISGARH,2009,10551,4482,15033
CHHATTISGARH,2010,11869,4642,16511
CHHATTISGARH,2011,11809,5289,17098
CHHATTISGARH,2012,10294,3665,13959
D & N HAVELI,2001,96,31,127
D & N HAVELI,2002,95,36,131
D & N HAVELI,2003,88,44,132
D & N HAVELI,2004,57,39,96
D & N HAVELI,2005,99,59,158
D & N HAVELI,2006,62,38,100
D & N HAVELI,2007,115,64,179
D & N HAVELI,2008,91,60,151
D & N HAVELI,2009,88,55,143
D & N HAVELI,2010,98,52,150
D & N HAVELI,2011,120,51,171
D & N HAVELI,2012,117,52,169
DAMAN & DIU,2001,29,9,38
DAMAN & DIU,2002,41,4,45
DAMAN & DIU,2003,45,12,57
DAMAN & DIU,2004,13,18,31
DAMAN & DIU,2005,68,14,82
DAMAN & DIU,2006,39,16,55
DAMAN & DIU,2007,18,19,37
DAMAN & DIU,2008,39,10,49
DAMAN & DIU,2009,36,18,54
DAMAN & DIU,2010,49,25,74
DAMAN & DIU,2011,50,33,83
DAMAN & DIU,2012,59,22,81
DELHI (UT),2001,1891,1121,3012
DELHI (UT),2002,1619,884,2503
DELHI (UT),2003,1788,885,2673
DELHI (UT),2004,2018,968,2986
DELHI (UT),2005,1909,984,2893
DELHI (UT),2006,2457,1143,3600
DELHI (UT),2007,2380,1098,3478
DELHI (UT),2008,2013,1074,3087
DELHI (UT),2009,2274,1138,3412
DELHI (UT),2010,2397,1232,3629
DELHI (UT),2011,2812,1163,3975
DELHI (UT),2012,3057,1354,4411
GOA,2001,425,190,615
GOA,2002,554,179,733
GOA,2003,548,190,738
GOA,2004,510,221,731
GOA,2005,485,179,664
GOA,2006,445,189,634
GOA,2007,435,196,631
GOA,2008,451,218,669
GOA,2009,451,206,657
GOA,2010,595,175,770
GOA,2011,461,205,666
GOA,2012,493,196,689
GUJARAT,2001,7236,4557,11793
GUJARAT,2002,7274,4106,11380
GUJARAT,2003,7173,4109,11282
GUJARAT,2004,7680,4146,11826
GUJARAT,2005,7870,3968,11838
GUJARAT,2006,8158,4265,12423
GUJARAT,2007,9058,4663,13721
GUJARAT,2008,9948,5160,15108
GUJARAT,2009,9947,5367,15314
GUJARAT,2010,10095,5176,15271
GUJARAT,2011,10532,5397,15929
GUJARAT,2012,11624,5966,17590
HARYANA,2001,3322,1423,4745
HARYANA,2002,3936,1375,5311
HARYANA,2003,4085,1380,5465
HARYANA,2004,3639,1375,5014
HARYANA,2005,3601,1160,4761
HARYANA,2006,4492,1223,5715
HARYANA,2007,4510,1255,5765
HARYANA,2008,4730,1406,6136
HARYANA,2009,4493,1430,5923
HARYANA,2010,5526,1577,7103
HARYANA,2011,5891,1646,7537
HARYANA,2012,5440,1694,7134
HIMACHAL PRADESH,2001,439,270,709
HIMACHAL PRADESH,2002,526,259,785
HIMACHAL PRADESH,2003,612,307,919
HIMACHAL PRADESH,2004,620,293,913
HIMACHAL PRADESH,2005,573,308,881
HIMACHAL PRADESH,2006,755,324,1079
HIMACHAL PRADESH,2007,698,324,1022
HIMACHAL PRADESH,2008,1164,507,1671
HIMACHAL PRADESH,2009,890,415,1305
HIMACHAL PRADESH,2010,902,434,1336
HIMACHAL PRADESH,2011,711,395,1106
HIMACHAL PRADESH,2012,868,387,1255
JAMMU & KASHMIR,2001,218,131,349
JAMMU & KASHMIR,2002,252,194,446
JAMMU & KASHMIR,2003,141,155,296
JAMMU & KASHMIR,2004,112,133,245
JAMMU & KASHMIR,2005,478,225,703
JAMMU & KASHMIR,2006,390,253,643
JAMMU & KASHMIR,2007,386,170,556
JAMMU & KASHMIR,2008,458,289,747
JAMMU & KASHMIR,2009,440,343,783
JAMMU & KASHMIR,2010,302,288,590
JAMMU & KASHMIR,2011,360,313,673
JAMMU & KASHMIR,2012,449,483,932
JHARKHAND,2001,359,237,596
JHARKHAND,2002,381,257,638
JHARKHAND,2003,381,257,638
JHARKHAND,2004,541,387,928
JHARKHAND,2005,1314,618,1932
JHARKHAND,2006,1311,690,2001
JHARKHAND,2007,2121,890,3011
JHARKHAND,2008,1506,653,2159
JHARKHAND,2009,1917,794,2711
JHARKHAND,2010,2017,979,2996
JHARKHAND,2011,2012,835,2847
JHARKHAND,2012,2054,1046,3100
KARNATAKA,2001,21932,9205,31137
KARNATAKA,2002,22698,9598,32296
KARNATAKA,2003,22965,9205,32170
KARNATAKA,2004,21574,9056,30630
KARNATAKA,2005,20715,8672,29387
KARNATAKA,2006,21239,9218,30457
KARNATAKA,2007,22554,9027,31581
KARNATAKA,2008,21932,9166,31098
KARNATAKA,2009,22140,9330,31470
KARNATAKA,2010,23247,9948,33195
KARNATAKA,2011,22755,9581,32336
KARNATAKA,2012,23639,9732,33371
KERALA,2001,17568,6141,23709
KERALA,2002,18520,5757,24277
KERALA,2003,18708,5571,24279
KERALA,2004,17459,5228,22687
KERALA,2005,18102,5278,23380
KERALA,2006,17593,5459,23052
KERALA,2007,17671,5268,22939
KERALA,2008,15911,5381,21292
KERALA,2009,16224,5300,21524
KERALA,2010,16501,4891,21392
KERALA,2011,16340,4941,21281
KERALA,2012,16901,4581,21482
LAKSHADWEEP,2001,0,0,0
LAKSHADWEEP,2002,0,0,0
LAKSHADWEEP,2003,2,2,4
LAKSHADWEEP,2004,0,0,0
LAKSHADWEEP,2005,0,0,0
LAKSHADWEEP,2006,3,2,5
LAKSHADWEEP,2007,3,4,7
LAKSHADWEEP,2008,0,0,0
LAKSHADWEEP,2009,0,2,2
LAKSHADWEEP,2010,0,2,2
LAKSHADWEEP,2011,0,0,0
LAKSHADWEEP,2012,2,0,2
MADHYA PRADESH,2001,9700,7421,17121
MADHYA PRADESH,2002,10049,7434,17483
MADHYA PRADESH,2003,9839,7443,17282
MADHYA PRADESH,2004,10283,7161,17444
MADHYA PRADESH,2005,7981,5706,13687
MADHYA PRADESH,2006,9582,6410,15992
MADHYA PRADESH,2007,9534,6388,15922
MADHYA PRADESH,2008,12103,7260,19363
MADHYA PRADESH,2009,13656,8708,22364
MADHYA PRADESH,2010,13812,8738,22550
MADHYA PRADESH,2011,14357,8857,23214
MADHYA PRADESH,2012,15741,8717,24458
MAHARASHTRA,2001,26290,11984,38274
MAHARASHTRA,2002,26622,11308,37930
MAHARASHTRA,2003,27792,10854,38646
MAHARASHTRA,2004,27983,10454,38437
MAHARASHTRA,2005,27222,10397,37619
MAHARASHTRA,2006,29846,10765,40611
MAHARASHTRA,2007,29700,10258,39958
MAHARASHTRA,2008,28175,9609,37784
MAHARASHTRA,2009,27676,9655,37331
MAHARASHTRA,2010,30840,10839,41679
MAHARASHTRA,2011,30959,10859,41818
MAHARASHTRA,2012,31667,10386,42053
MANIPUR,2001,59,37,96
MANIPUR,2002,71,18,89
MANIPUR,2003,54,10,64
MANIPUR,2004,83,18,101
MANIPUR,2005,66,8,74
MANIPUR,2006,62,24,86
MANIPUR,2007,68,22,90
MANIPUR,2008,59,23,82
MANIPUR,2009,46,20,66
MANIPUR,2010,54,30,84
MANIPUR,2011,43,31,74
MANIPUR,2012,51,36,87
MEGHALAYA,2001,182,47,229
MEGHALAYA,2002,129,36,165
MEGHALAYA,2003,88,25,113
MEGHALAYA,2004,107,33,140
MEGHALAYA,2005,122,42,164
MEGHALAYA,2006,187,49,236
MEGHALAYA,2007,156,60,216
MEGHALAYA,2008,150,60,210
MEGHALAYA,2009,159,102,261
MEGHALAYA,2010,201,59,260
MEGHALAYA,2011,277,97,374
MEGHALAYA,2012,234,79,313
MIZORAM,2001,107,18,125
MIZORAM,2002,145,24,169
MIZORAM,2003,109,32,141
MIZORAM,2004,132,17,149
MIZORAM,2005,102,17,119
MIZORAM,2006,137,20,157
MIZORAM,2007,44,12,56
MIZORAM,2008,74,13,87
MIZORAM,2009,172,20,192
MIZORAM,2010,164,23,187
MIZORAM,2011,184,31,215
MIZORAM,2012,388,39,427
NAGALAND,2001,61,32,93
NAGALAND,2002,53,17,70
NAGALAND,2003,43,10,53
NAGALAND,2004,69,18,87
NAGALAND,2005,59,15,74
NAGALAND,2006,48,21,69
NAGALAND,2007,43,15,58
NAGALAND,2008,80,21,101
NAGALAND,2009,68,15,83
NAGALAND,2010,27,2,29
NAGALAND,2011,74,18,92
NAGALAND,2012,69,13,82
ODISHA,2001,5500,4638,10138
ODISHA,2002,7032,4079,11111
ODISHA,2003,7362,3941,11303
ODISHA,2004,6857,3989,10846
ODISHA,2005,6835,3926,10761
ODISHA,2006,6263,4026,10289
ODISHA,2007,6600,4262,10862
ODISHA,2008,8331,4032,12363
ODISHA,2009,6746,4356,11102
ODISHA,2010,6475,4299,10774
ODISHA,2011,8210,5104,13314
ODISHA,2012,7441,4888,12329
PUDUCHERRY,2001,909,430,1339
PUDUCHERRY,2002,1173,330,1503
PUDUCHERRY,2003,1100,417,1517
PUDUCHERRY,2004,899,437,1336
PUDUCHERRY,2005,931,411,1342
PUDUCHERRY,2006,974,370,1344
PUDUCHERRY,2007,869,429,1298
PUDUCHERRY,2008,922,372,1294
PUDUCHERRY,2009,892,411,1303
PUDUCHERRY,2010,930,378,1308
PUDUCHERRY,2011,1100,334,1434
PUDUCHERRY,2012,1021,362,1383
PUNJAB,2001,936,523,1459
PUNJAB,2002,1059,225,1284
PUNJAB,2003,1250,263,1513
PUNJAB,2004,1376,276,1652
PUNJAB,2005,1283,221,1504
PUNJAB,2006,1573,338,1911
PUNJAB,2007,1675,453,2128
PUNJAB,2008,1708,488,2196
PUNJAB,2009,1696,449,2145
PUNJAB,2010,1922,419,2341
PUNJAB,2011,1995,452,2447
PUNJAB,2012,2145,522,2667
RAJASTHAN,2001,5255,2736,7991
RAJASTHAN,2002,5607,2543,8150
RAJASTHAN,2003,6498,2739,9237
RAJASTHAN,2004,6598,2670,9268
RAJASTHAN,2005,7180,2729,9909
RAJASTHAN,2006,7478,2820,10298
RAJASTHAN,2007,8373,2683,11056
RAJASTHAN,2008,9669,3466,13135
RAJASTHAN,2009,9606,3364,12970
RAJASTHAN,2010,8707,3293,12000
RAJASTHAN,2011,7732,2892,10624
RAJASTHAN,2012,8114,3344,11458
SIKKIM,2001,177,76,253
SIKKIM,2002,135,56,191
SIKKIM,2003,183,88,271
SIKKIM,2004,162,110,272
SIKKIM,2005,173,111,284
SIKKIM,2006,252,111,363
SIKKIM,2007,222,93,315
SIKKIM,2008,561,167,728
SIKKIM,2009,332,314,646
SIKKIM,2010,642,112,754
SIKKIM,2011,284,195,479
SIKKIM,2012,276,206,482
TAMIL NADU,2001,18721,9576,28297
TAMIL NADU,2002,18607,9755,28362
TAMIL NADU,2003,18930,10833,29763
TAMIL NADU,2004,20916,11141,32057
TAMIL NADU,2005,19796,10393,30189
TAMIL NADU,2006,20530,11240,31770
TAMIL NADU,2007,23750,11821,35571
TAMIL NADU,2008,24842,12640,37482
TAMIL NADU,2009,23452,12381,35833
TAMIL NADU,2010,26385,13594,39979
TAMIL NADU,2011,25354,12471,37825
TAMIL NADU,2012,26515,13480,39995
TRIPURA,2001,1088,812,1900
TRIPURA,2002,1279,643,1922
TRIPURA,2003,1083,762,1845
TRIPURA,2004,1012,695,1707
TRIPURA,2005,1053,721,1774
TRIPURA,2006,958,680,1638
TRIPURA,2007,1104,678,1782
TRIPURA,2008,1070,670,1740
TRIPURA,2009,1278,581,1859
TRIPURA,2010,1203,620,1823
TRIPURA,2011,1065,519,1584
TRIPURA,2012,1342,591,1933
UTTAR PRADESH,2001,4856,3899,8755
UTTAR PRADESH,2002,6080,4423,10503
UTTAR PRADESH,2003,5176,3671,8847
UTTAR PRADESH,2004,5158,3744,8902
UTTAR PRADESH,2005,4823,3792,8615
UTTAR PRADESH,2006,4731,3085,7816
UTTAR PRADESH,2007,5498,4281,9779
UTTAR PRADESH,2008,5864,4306,10170
UTTAR PRADESH,2009,5976,4414,10390
UTTAR PRADESH,2010,4813,4177,8990
UTTAR PRADESH,2011,7096,4750,11846
UTTAR PRADESH,2012,6644,4364,11008
UTTARAKHAND,2001,497,307,804
UTTARAKHAND,2002,559,339,898
UTTARAKHAND,2003,706,291,997
UTTARAKHAND,2004,368,189,557
UTTARAKHAND,2005,461,201,662
UTTARAKHAND,2006,458,347,805
UTTARAKHAND,2007,344,267,611
UTTARAKHAND,2008,277,203,480
UTTARAKHAND,2009,512,301,813
UTTARAKHAND,2010,435,255,690
UTTARAKHAND,2011,503,283,786
UTTARAKHAND,2012,622,371,993
WEST BENGAL,2001,19436,14610,34046
WEST BENGAL,2002,18629,13696,32325
WEST BENGAL,2003,19831,12544,32375
WEST BENGAL,2004,19639,12274,31913
WEST BENGAL,2005,22797,13785,36582
WEST BENGAL,2006,24791,14058,38849
WEST BENGAL,2007,22738,14071,36809
WEST BENGAL,2008,21245,13975,35220
WEST BENGAL,2009,22088,13480,35568
WEST BENGAL,2010,24462,15444,39906
WEST BENGAL,2011,24316,15344,39660
WEST BENGAL,2012,0,0,0
